股票代码,股票名称,当日股价,当日涨跌幅,操作策略,持有天数,持有期间总收益率,回测期间总收益率
sh.600227,赤天化,2.46,-0.81,持有,12,-1.99,12.77
sh.600229,城市传媒,7.22,1.26,持有,20,4.49,99.83
sh.600228,*ST返利,4.75,0.21,持有,13,4.86,-5.63
sh.600231,凌钢股份,2.0,0.5,观望,0,0.0,0.0
sh.600233,圆通速递,12.7,-0.24,持有,6,-0.78,-25.51
sh.600230,沧州大化,10.58,-0.66,持有,36,2.03,-33.64
sh.600237,铜峰电子,7.41,-0.8,观望,0,0.0,0.0
sh.600235,民丰特纸,6.43,-0.62,观望,0,0.0,0.0
sh.600238,*ST椰岛,6.25,0.97,观望,0,0.0,0.0
sh.600232,金鹰股份,6.37,-0.93,持有,16,1.92,50.66
sh.600236,桂冠电力,7.43,10.07,观望,0,0.0,0.0
sh.600239,云南城投,2.41,0.84,观望,0,0.0,0.0
sh.600234,*ST科新,7.69,-0.77,持有,28,4.06,40.81
sh.600243,*ST海华,3.04,-0.65,持有,23,-5.59,28.48
sh.600241,时代万恒,8.58,-0.69,持有,1,-0.69,47.57
sh.600246,万通发展,6.55,2.34,持有,14,5.65,-103.13
sh.600248,陕建股份,3.9,0.52,观望,0,0.0,0.0
sh.600249,两面针,5.94,-0.17,卖出,23,-0.5,24.16
sh.600250,南京商旅,12.44,-7.23,观望,0,0.0,0.0
sh.600251,冠农股份,7.63,-1.04,观望,0,0.0,0.0
sh.600252,中恒集团,2.65,-0.75,观望,0,0.0,0.0
sh.600255,鑫科材料,3.4,-1.73,观望,0,0.0,0.0
sh.600257,大湖股份,5.17,-0.77,观望,0,0.0,0.0
sh.600256,广汇能源,5.99,0.0,持有,14,0.0,-43.71
sh.600265,ST景谷,18.41,4.01,持有,399,5.44,5.44
sh.600258,首旅酒店,14.24,-0.07,观望,0,0.0,0.0
sh.600261,阳光照明,3.38,0.0,观望,0,0.0,0.0
sh.600259,广晟有色,52.54,-2.83,持有,16,-0.23,6.73
sh.600266,城建发展,4.86,1.46,观望,0,0.0,0.0
sh.600268,国电南自,8.1,-0.49,观望,0,0.0,0.0
sh.600267,海正药业,11.32,2.91,观望,0,0.0,0.0
sh.600262,北方股份,22.99,0.61,观望,0,0.0,0.0
sh.600269,赣粤高速,5.14,0.59,观望,0,0.0,0.0
sh.600271,航天信息,9.1,-0.33,持有,5,0.89,-28.54
sh.600273,嘉化能源,8.85,-0.78,观望,0,0.0,0.0
sh.600276,恒瑞医药,57.19,7.1,观望,0,0.0,0.0
sh.600272,开开实业,13.94,-0.78,持有,23,2.58,115.37
sh.600280,中央商场,3.67,1.66,观望,0,0.0,0.0
sh.600278,东方创业,7.28,-0.27,观望,0,0.0,0.0
sh.600279,重庆港,5.6,-0.53,持有,36,-6.98,29.92
sh.600285,羚锐制药,23.18,-0.04,观望,0,0.0,0.0
sh.600287,ST舜天,6.28,-3.53,持有,5,0.64,-9.72
sh.600283,钱江水利,10.23,-0.49,观望,0,0.0,0.0
sh.600281,华阳新材,6.76,-4.52,持有,14,6.96,5.86
sh.600284,浦东建设,6.62,0.0,持有,42,-3.5,39.22
sh.600282,南钢股份,4.49,-0.66,观望,0,0.0,0.0
sh.600292,远达环保,12.09,-0.82,观望,0,0.0,0.0
sh.600293,三峡新材,3.32,-0.3,观望,0,0.0,0.0
sh.600288,大恒科技,10.3,0.68,观望,0,0.0,0.0
sh.600289,*ST信通,7.04,5.07,买入,0,0.0,76.23
sh.600298,安琪酵母,34.25,-0.95,持有,21,-2.89,-13.47
sh.600295,鄂尔多斯,9.01,-0.11,持有,15,5.26,34.11
sh.600300,维维股份,3.44,-0.86,卖出,23,-3.37,55.22
sh.600301,华锡有色,20.13,-2.85,观望,0,0.0,0.0
sh.600299,安迪苏,9.63,-0.72,观望,0,0.0,0.0
sh.600302,标准股份,6.23,-1.42,持有,2,-0.64,50.15
sh.600303,曙光股份,3.62,0.0,持有,54,-14.82,-16.21
sh.600307,酒钢宏兴,1.5,0.0,持有,35,7.14,20.93
sh.600305,恒顺醋业,7.68,0.52,观望,0,0.0,0.0
sh.600308,华泰股份,3.52,-0.28,卖出,44,-0.56,51.54
sh.600309,万华化学,54.44,-1.56,观望,0,0.0,0.0
sh.600310,广西能源,4.31,0.0,观望,0,0.0,0.0
sh.600312,平高电气,15.36,-0.71,观望,0,0.0,0.0
sh.600313,农发种业,6.37,-0.62,观望,0,0.0,0.0
sh.600315,上海家化,21.77,2.59,持有,47,-12.99,-9.44
sh.600318,新力金融,10.43,4.3,观望,0,0.0,0.0
sh.600316,洪都航空,35.58,-0.84,观望,0,0.0,0.0
sh.600320,振华重工,4.58,-0.43,观望,0,0.0,0.0
sh.600319,亚星化学,6.46,-1.67,观望,0,0.0,0.0
sh.600322,津投城开,2.85,-2.06,持有,7,-3.72,17.91
sh.600325,华发股份,4.94,-0.2,观望,0,0.0,0.0
sh.600326,西藏天路,8.48,-2.19,持有,2,-2.75,61.72
sh.600328,中盐化工,7.69,0.26,观望,0,0.0,0.0
sh.600327,大东方,4.86,0.0,观望,0,0.0,0.0
sh.600323,瀚蓝环境,23.71,-1.54,持有,28,-4.55,1.75
sh.600331,宏达股份,8.83,-1.12,观望,0,0.0,0.0
sh.600330,天通股份,7.26,-0.82,卖出,2,2.11,8.43
sh.600332,白云山,26.5,0.0,持有,30,-2.11,29.83
sh.600329,达仁堂,32.64,0.25,持有,16,0.09,9.31
sh.600333,长春燃气,5.01,1.83,持有,13,1.83,1.32
sh.600335,国机汽车,6.45,-0.46,观望,0,0.0,0.0
sh.600338,西藏珠峰,11.13,-1.07,观望,0,0.0,0.0
sh.600336,澳柯玛,7.01,-1.96,观望,0,0.0,0.0
sh.600337,美克家居,2.27,0.0,观望,0,0.0,0.0
sh.600339,中油工程,3.35,0.9,持有,13,1.82,67.82
sh.600340,华夏幸福,2.25,-0.88,观望,0,0.0,0.0
sh.600343,航天动力,12.58,-1.72,观望,0,0.0,0.0
sh.600348,华阳股份,6.95,0.87,观望,0,0.0,0.0
sh.600346,恒力石化,14.08,-1.19,观望,0,0.0,0.0
sh.600350,山东高速,10.28,1.18,持有,28,-7.47,35.23
sh.600351,亚宝药业,6.25,-0.48,观望,0,0.0,0.0
sh.600345,长江通信,25.36,-0.16,持有,6,-0.98,27.52
sh.600352,浙江龙盛,10.35,0.0,持有,19,2.27,56.83
sh.600353,旭光电子,13.87,9.99,持有,2,3.9,10.46
sh.600355,*ST精伦,2.89,-1.37,持有,19,1.4,23.45
sh.600354,敦煌种业,6.6,-1.35,卖出,16,8.37,112.31
sh.600358,ST联合,6.05,-1.79,持有,16,-7.07,31.82
sh.600359,新农开发,7.42,-0.93,观望,0,0.0,0.0
sh.600360,*ST华微,8.91,4.33,持有,9,12.5,-55.43
sh.600356,恒丰纸业,8.15,-1.57,持有,36,2.26,11.42
